no;codigo;nome;descricao;pasta;classificacao;autor;numero_revisao;ultima_revisao;data_aprovacao;proxima_revisao;data_validade;documentos_controlados;matriz;sub_area
73;DEX.153;Measurement of Viscosity - HC - DO-ENG02.0838;;04-Testes;Documentos Externos;Nathália Brandão;6;2025-03-11;2025-03-11;2026-03-11;2026-06-09;Sim;Doc's de Referência do STL;HC
74;DEX.154;New Strip-K Formulation -  DO-ENGENG 02.1346;;02-HC;Documentos Externos;Carlos Anselme;4;2022-04-19;2022-09-20;2025-09-13;2025-12-13;Sim;Doc's de Referência do STL;HC
75;DEX.156;DO-ENG02-1745 - Reception of Varnish and Primer Carboys e Incoming Tests;;02-HC;Documentos Externos;Aluney Junior;5;2024-03-20;2024-04-17;2025-04-17;2026-07-24;Sim;Doc's de Referência do STL;HC
76;DEX.157;Mithril 1.6 Maintenance - DO-ENG02.1348;;02-HC;Documentos Externos;Carlos Anselme;12;2025-04-02;2025-04-02;2026-04-02;2026-07-02;Sim;Doc's de Referência do STL;HC
77;DEX.158;Chemical Solutions Preparation Methods for Dip Processes - DO-ENG02.484;;02-HC;Documentos Externos;Carlos Anselme;8;2022-04-19;2022-09-20;2026-07-07;2026-10-06;Sim;Doc's de Referência do STL;HC
78;DEX.159;Preparation of Newstrip solution from C/11 Concentrated - DO-ENG02.1378;;02-HC;Documentos Externos;Carlos Anselme;2;2022-04-19;2022-09-20;2026-07-07;2026-11-06;Sim;Doc's de Referência do STL;HC
79;DEX.161;Preparation and Maintenance of J2L9 Solution in Rx Hard Coat Production;;02-HC;Documentos Externos;Carlos Anselme;2;2022-04-20;2022-09-20;2026-07-07;2026-11-06;Sim;Doc's de Referência do STL;HC
80;DEX.162;Water guideline in HC process - DO-ENG02.1324;;02-HC;Documentos Externos;Carlos Anselme;4;2022-04-20;2022-09-20;2026-06-01;2026-08-31;Sim;Doc's de Referência do STL;HC
81;DEX.165;Manual de Compras Essilor - Orgalent;;LabRio;Documentos Externos;Nathália Brandão;2;2022-05-06;2022-10-18;2025-09-20;2025-12-21;Não;;
82;DEX.166;Modelo NOE NORIA Acompanhamento DO-ENG02.1348;;02-HC;Documentos Externos;Carlos Anselme;;2022-05-24;2024-11-25;2025-11-25;2026-02-23;Sim;;
83;DEX.169;Nova Formulação de Strip-K - DO-ENGENG 02.1346;;02-HC;Documentos Externos;Carlos Anselme;4;2022-05-24;2023-10-10;2025-10-09;2026-01-07;Sim;;
84;DEX.172;Métodos de Preparação de Soluções Químicas para Processos de Mergulho - DO-ENG02.484;;02-HC;Documentos Externos;Carlos Anselme;8;2022-05-24;2023-10-10;2025-10-09;2026-01-07;Sim;;
85;DEX.173;Preparação de solução de Newstrip de C/11 Concentrado - DO-ENG02.1378;;02-HC;Documentos Externos;Carlos Anselme;2;2022-05-24;2023-10-10;2025-10-09;2026-01-07;Sim;;
86;DEX.174;Preparação e Manutenção da Solução J2L9 na Produção de Revestimento Duro Rx;;02-HC;Documentos Externos;Carlos Anselme;3;2024-12-02;2024-12-30;2025-12-30;2026-03-30;Sim;;
87;DEX.175;Diretriz de água no processo HC - DO-ENG02.1324;;02-HC;Documentos Externos;Carlos Anselme;4;2022-05-24;2023-10-10;2025-10-09;2026-01-07;Sim;;
88;DEX.176;NR 24 - Condições Sanitárias e de Conforto nos Locais de Trabalho;;Higienização;Documentos Externos;Taís Flores;;2022-05-27;2022-05-27;2026-05-27;2026-08-26;Sim;;
89;DEX.178;ISTM 02258 - user_guide_SMR Thickness;;04-Testes;Documentos Externos;Taís Flores;;2017-07-10;2017-07-10;2026-05-29;2026-08-28;Sim;Doc's de Referência do STL;Testes
90;DEX.179;ISTM 09-069-05-EF - Selection of crown for reflectance measurement with SMR;;04-Testes;Documentos Externos;Taís Flores;5;2022-06-10;2022-06-10;2025-11-11;2026-02-10;Sim;Doc's de Referência do STL;Testes
91;DEX.181;ABNT NBR ISO 8980-1:2021 Parte 1: Especificações para lentes de visão simples e multifocal;;Normas;Documentos Externos;Taís Flores;1;2023-09-04;2023-09-04;2025-09-04;2025-12-04;Sim;;
92;DEX.182;;;;;;;;;;;;;
93;DEX.183;Crizal Prevencia UV35 Mithril 1.6 - DO-ENG02.0850;;03-Antirreflexo;Documentos Externos;Alvaro Christofoli;2;2022-09-02;2023-10-10;2025-10-09;2026-01-07;Sim;Doc's de Referência do STL;Anti-Reflexo
94;DEX.184;LEI Nº 12.903, DE 14 DE JANEIRO DE 2008 - Constituição do Estado - RS;;Regulatório;Documentos Externos;Taís Flores;;2022-12-14;2022-12-14;2025-12-14;2026-03-14;Sim;;
95;DEX.188;AR Color Distribution Control;;03-Antirreflexo;Documentos Externos;Matheus Silva;3;2023-05-22;2023-07-03;2026-07-02;2026-10-01;Sim;HMC;Antirreflexo
96;DEX.189;P 8.1-06 V01 - Gerenciamento de Resíduos Industriais;;Sumaré - EHS;Documentos Externos;Taís Flores;1;2023-05-17;2023-05-17;2026-05-18;2026-08-17;Sim;;
97;DEX.190;P 8.1-08 V01 - Infor. Segurança Produtos Químicos;;Sumaré - EHS;Documentos Externos;Taís Flores;1;2023-05-17;2023-05-17;2026-05-18;2026-08-17;Sim;;
98;DEX.191;P 8.1-16 V01 Utilização de EPIs;;Sumaré - EHS;Documentos Externos;Taís Flores;1;2023-05-17;2023-05-17;2026-05-18;2026-08-17;Sim;;
99;DEX.192;ABNT NBR ISO 31000:2018 - Gestão de Riscos - Diretrizes;;Normas;Documentos Externos;Taís Flores;2;2023-05-18;2023-05-18;2026-05-18;2026-08-17;Sim;;
100;DEX.193;Vocabulário Internacional de Metrologia - (VIM 2012);;Normas;Documentos Externos;Taís Flores;1;2023-05-18;2023-05-18;2026-05-18;2026-08-17;Sim;;
101;DEX.196;Leak Rate Package for AR in Mass Production and Rx;;03-Antirreflexo;Documentos Externos;Matheus Silva;2;2024-04-05;2024-04-16;2026-04-16;2026-07-15;Sim;Doc's de Referência do STL;Anti-Reflexo
102;DEX.197;Certificado de Regularidade Técnica - Óptico - Repro - MAURILIO ROBERTO PEREIRA;;Regulatório;Documentos Externos;Taís Flores;2;2025-03-14;2025-06-13;2026-06-13;2026-09-11;Sim;;
103;DEX.201;Decreto Nº 5711 - 23/05/2002 do Paraná PR codigo estado;;Regulatório;Documentos Externos;Taís Flores;;2023-05-24;2023-05-24;2026-05-25;2026-08-24;Sim;;
104;DEX.202;Certificado de Regularidade Técnica - Óptico - Optilab - RICARDO MARCEL CABRAL DE OLIVEIRA;;Regulatório;Documentos Externos;Taís Flores;2;2024-12-20;2024-12-20;2025-12-20;2026-03-20;Sim;;
105;DEX.203;Certificado de Regularidade Técnica - Óptico - Optilab - MARCIO AUGUSTO MARTINS;;Regulatório;Documentos Externos;Taís Flores;2;2024-12-20;2024-12-20;2026-11-25;2026-11-25;Sim;;
106;DEX.204;Decreto Estadual Nº 12.479 de 18 de outubro de 1978 - ESTADO DE SÃO PAULO;;Regulatório;Documentos Externos;Taís Flores;;2023-05-24;2023-05-24;2026-05-25;2026-08-24;Sim;;
107;DEX.205;Decreto Nº 5711 - 23/05/2002 do Paraná PR codigo estado;;Regulatório;Documentos Externos;Taís Flores;;2023-05-24;2023-05-24;2026-05-25;2026-08-24;Sim;;
108;DEX.207;Certificado de Regularidade Técnica - Óptico - Ceditop - Luiz Fernando Sturmer;;Regulatório;Documentos Externos;Taís Flores;2;2025-02-13;2025-04-29;2026-04-29;2026-07-28;Sim;;
109;DEX.209;Decreto nº 24.492, de 28 de junho de 1934;;Regulatório;Documentos Externos;Taís Flores;;2023-05-24;2023-05-24;2026-05-25;2026-08-24;Sim;;
110;DEX.210;Ion Gun - 7 Passos de Rotina (MARK II e II+);;03-Antirreflexo;Documentos Externos;Matheus Silva;3;2023-05-30;2023-07-03;2026-07-02;2026-10-01;Sim;HMC;ION GUN
111;DEX.211;Lei  Nº 18.561, de 21 de Dezembro de 2022;;Regulatório;Documentos Externos;Taís Flores;;2023-05-31;2023-05-31;2026-06-01;2026-08-28;Sim;;
112;DEX.212;Decreto N. 24.492, de 28 de Junho de 1934 - RJ;;Regulatório;Documentos Externos;Taís Flores;;2023-05-31;2023-05-31;2026-06-01;2026-08-28;Sim;;
113;DEX.213;;;;;;;;;;;;;
114;DEX.214;Gerenciamento do Cabeçote do Cristal de Quartzo e sua Manutenção para Máquina de AR - DO-ENG-021011;;03-Antirreflexo;Documentos Externos;Matheus Silva;;2023-06-06;2023-07-03;2026-07-02;2026-10-01;Sim;HMC;Anti-Reflexo: STL
115;DEX.216;Medição de Densidade de Potência Ultra-Sônica para Máquina SCL - DO-ENG-02OPR-00659;;02-HC;Documentos Externos;Matheus Silva;1;2023-07-03;2023-10-10;2025-10-09;2026-01-07;Sim;HMC;Anti-Reflexo: STL
116;DEX.217;Medição de Densidade de Potência Ultrassônica para Máquina LVM e D - DO-ENG02-0891;;02-HC;Documentos Externos;Matheus Silva;3;2023-07-03;2023-10-10;2025-10-09;2026-01-07;Sim;HMC;Anti-Reflexo: STL
117;DEX.218;Configuração do SiO2 Material - ENG-02-161;;03-Antirreflexo;Documentos Externos;Matheus Silva;2;2023-07-03;2023-10-10;2025-10-09;2026-01-07;Sim;HMC;Anti-Reflexo: STL
118;DEX.220;Modo de Operação - Configuração do material ZrO2 - DO-ENG-02-630;;03-Antirreflexo;Documentos Externos;Matheus Silva;2;2023-07-03;2023-10-10;2025-10-09;2026-01-07;Sim;HMC;Anti-Reflexo: STL
119;DEX.221;Ta2O5 (Pentóxido de Tântalo, Tântalo(V)-Óxido) - Arquivo de configuração de material - DO-ENG-02-1313;;03-Antirreflexo;Documentos Externos;Matheus Silva;6;2023-07-03;2023-10-10;2025-10-09;2026-01-07;Sim;HMC;Anti-Reflexo: STL
120;DEX.222;Rx Manufacturing Referential - GIB/BIG System;;Auditoria de Produto;Documentos Externos;Lucineide Pereira;1;2023-08-04;2023-08-04;2026-08-03;2026-11-03;Sim;;
121;DEX.223;ISTM 03 - 020 - Visual Inspection - Lens Inspection Checking Operation Mode;;Geral;Documentos Externos;Lucineide Pereira;3;2023-08-04;2023-08-04;2026-08-03;2026-11-03;Sim;;
122;DEX.224;DSX Top Coat Checking Using The Magic INK Nº500 Pen;;Geral;Documentos Externos;Lucineide Pereira;3;2023-08-08;2023-08-11;2026-08-10;2026-11-09;Sim;;
123;DEX.225;KY-130 Top Coat Checking Using The Mc Kee Zebra Pen;;Geral;Documentos Externos;Lucineide Pereira;2;2023-08-08;2023-08-11;2026-08-10;2026-11-09;Sim;;
124;DEX.226;Spectral Reflectance Measurement of Lenses With SMR - ISTM 02-016;;04-Testes;Documentos Externos;Lucineide Pereira;;2023-03-15;2023-03-17;2026-06-09;2026-09-08;Sim;Doc's de Referência do STL;Testes
125;DEX.227;New SMR Validation;;04-Testes;Documentos Externos;Lucineide Pereira;1;2018-03-20;2018-03-28;2026-08-10;2026-11-09;Sim;Doc's de Referência do STL;Testes
126;DEX.228;ISTM 02-036 - Installation Guide SMR - System of Measurements by Reflection of AR Coatings;;04-Testes;Documentos Externos;Taís Flores;8;2017-03-01;2017-03-01;2026-08-10;2026-11-09;Sim;Doc's de Referência do STL;Testes
127;DEX.230;Aquisição (Materiais/Serviços) - Laboratório Sumaré;;Sumaré Laboratório;Documentos Externos;Denise Miranda;;2023-08-21;2023-08-21;2026-08-20;2026-11-18;Sim;;
128;DEX.231;ISTM 02-026 - Operating Mode RCO2 Test;;04-Testes;Documentos Externos;Lucineide Pereira;2;2018-05-14;2018-05-30;2025-08-28;2025-11-28;Sim;Doc's de Referência do STL;Testes
129;DEX.233;ISTM 09-146 - RCO2 Test;;04-Testes;Documentos Externos;Lucineide Pereira;1;2016-02-16;2016-02-16;2025-08-28;2025-11-28;Sim;Doc's de Referência do STL;Testes
130;DEX.234;ISTM 09-018 - Ink Test;;04-Testes;Documentos Externos;Lucineide Pereira;2;2018-05-03;2018-05-03;2025-08-28;2025-11-28;Sim;Doc's de Referência do STL;Testes
131;DEX.235;ISTM 09-082 - Ink Test;;04-Testes;Documentos Externos;Lucineide Pereira;3;2018-07-06;2018-07-06;2025-08-28;2025-11-28;Sim;Doc's de Referência do STL;Testes
132;DEX.236;NX 10 Blows Test - ISTM-02-011;;04-Testes;Documentos Externos;Lucineide Pereira;9;2025-03-11;2025-03-11;2026-03-11;2026-06-11;Sim;Doc's de Referência do STL;Testes
133;DEX.238;ABNT NBR ISO 8980-4:2013 Parte 4: Especificações e métodos de ensaio para revestimentos antirrefletivos;;Normas;Documentos Externos;Taís Flores;1;2023-09-04;2023-09-04;2025-09-03;2025-12-02;Sim;;
134;DEX.239;ABNT NBR ISO 8980-5:2022 Parte 5: Requisitos mínimos para superfícies de lentes para óculos resistentes à abrasão;;Normas;Documentos Externos;Taís Flores;1;2023-09-04;2023-09-04;2025-09-03;2025-12-02;Sim;;
135;DEX.241;UV Monitoring Procedure - DO-ENG-02OPR-00529;;Doc;Documentos Externos;José Roberto;2;2022-04-08;2022-04-08;2025-09-08;2025-12-27;Sim;;
136;DEX.242;ART Blocker Glue Consumption;;Doc;Documentos Externos;José Roberto;1;2018-12-17;2018-12-17;2025-09-27;2025-12-27;Sim;;
137;DEX.243;Chuck Positioning Control - DO-ENG02.567;;Doc;Documentos Externos;José Roberto;5;2022-01-06;2022-01-06;2025-09-06;2025-12-06;Sim;;
138;DEX.244;Coolant Guidelines - DO-ENG02.1477;;Doc;Documentos Externos;José Roberto;11;2022-11-25;2022-11-25;2025-11-25;2026-02-23;Sim;;
139;DEX.245;Generator Calibration Procedure - DO-ENG02.0814;;Doc;Documentos Externos;José Roberto;8;2022-04-24;2022-04-24;2025-09-24;2025-12-23;Sim;;
140;DEX.246;Surface Quality Evaluation Gloss Meter Device - DO-ENG02.904;;Doc;Documentos Externos;José Roberto;3;2016-01-13;2016-01-13;2026-09-15;2026-12-14;Sim;;
141;DEX.247;VFT Orbit 1 Plano Calibration Procedure - DO-ENG-02OPR-00532;;Doc;Documentos Externos;José Roberto;2;2022-05-23;2022-05-23;2025-09-23;2025-12-23;Sim;;
142;DEX.248;VFT Orbit 2 Auto Calibration Procedure - DO-ENG02.903;;Doc;Documentos Externos;José Roberto;2;2022-03-22;2022-03-22;2025-09-22;2025-12-20;Sim;;
143;DEX.249;VFT Refrigerant Guidelines - DO-ENG02.1724;;Doc;Documentos Externos;José Roberto;3;2022-10-07;2022-10-07;2025-10-07;2026-01-05;Sim;;
144;DEX.250;VFT Orbit Preventive Maintenance - DO-ENG02.0897;;Doc;Documentos Externos;José Roberto;3;2020-08-24;2020-08-24;2026-08-24;2026-11-23;Sim;;
145;DEX.251;VFT Orbit Fast Tool Holder Adjustment - DO-ENG02.1653;;Doc;Documentos Externos;José Roberto;4;2021-11-09;2021-11-09;2025-11-09;2026-02-07;Sim;;
146;DEX.252;VFT Orbit 2 Plano Calibration Procedure - DO-ENG-02OPR-00527;;Doc;Documentos Externos;José Roberto;2;2022-05-21;2022-05-21;2025-11-22;2025-12-19;Sim;;
147;DEX.253;ICR08049 - Vx XR_v1_30052023 - VARILUX XR SERIES;;Geral;Documentos Externos;Taís Flores;1;2023-10-02;2023-10-02;2025-10-01;2025-12-30;Sim;;
148;DEX.254;ART Deblocker - Gripper Force Measurement - DO-ENG-02OPR-00279;;Doc;Documentos Externos;José Roberto;;2019-12-01;2019-12-01;2025-11-22;2026-02-21;Sim;;
149;DEX.256;ART Deblocker - Ultra Sonic Cleaning Conditions - DO-ENG-02OPR-00525;;Doc;Documentos Externos;José Roberto;;2023-11-22;2023-11-22;2025-11-21;2026-02-19;Sim;;
150;DEX.257;ART Deblocker - Preventive Maintenance;;Doc;Documentos Externos;José Roberto;;2022-10-01;2023-11-01;2025-10-31;2026-01-29;Sim;;
151;DEX.258;Lensmappers - Verification with Standard Mineral Lenses;;Doc;Documentos Externos;José Roberto;2;2022-06-14;2022-06-14;2025-11-22;2026-02-21;Sim;;
152;DEX.259;Coating Tank Caustic Cleaning in D-Machines - DO-ENG02.1486;;02-HC;Documentos Externos;Carlos Anselme;2;2023-11-23;2024-02-26;2026-02-25;2026-05-26;Sim;Doc's de Referência do STL;HC
153;DEX.260;Limpeza Cáustica de Tanques de Primer e Revestimento em D-Machines - DO-ENG02.1486;;02-HC;Documentos Externos;Matheus Silva;3;2025-05-28;2025-08-28;2026-08-28;2026-11-26;Sim;;
154;DEX.261;Automated Taping Machine - DO-ENG02.0892;;Doc;Documentos Externos;José Roberto;2;2014-06-26;2014-06-26;2026-06-26;2026-09-25;Sim;;
155;DEX.262;CLBS - Camera Delay Troubleshooting;;Doc;Documentos Externos;José Roberto;;2014-01-01;2014-01-01;2026-04-01;2026-07-01;Sim;;
156;DEX.263;CLBS1 - Operating Mode;;Doc;Documentos Externos;José Roberto;1;2012-04-10;2012-04-10;2026-04-10;2026-07-09;Sim;;
