no;codigo;nome;descricao;pasta;classificacao;autor;numero_revisao;ultima_revisao;data_aprovacao;proxima_revisao;data_validade;documentos_controlados;matriz;sub_area
33;DOC.050;Política de Compras de Suprimentos - Ceditop;;Ceditop;Documentos;João Martins;0;16/11/2022;28/11/2022;28/08/2026;27/11/2026;Sim;;
34;DOC.051;Política de Compras de Insumos - Ceditop;;Ceditop;Documentos;João Martins;1;20/01/2023;25/01/2023;18/05/2026;17/08/2026;Sim;;
35;DOC.052;Política de Compras de Peças - Ceditop;;Ceditop;Documentos;João Martins;0;16/11/2022;28/11/2022;28/11/2025;16/02/2026;Sim;;
36;DOC.053;Política de Compras - Repro;;Repro;Documentos;Debora Rocha;2;21/11/2025;26/11/2025;26/11/2026;24/02/2027;Sim;;
37;DOC.054;Fluxograma de Processos - Ceditop;;Ceditop;Documentos;Leticia Santos;2;02/10/2024;16/10/2024;16/10/2025;14/01/2026;Sim;;
38;DOC.055;Fluxograma de Processos - Sumaré CD;;Sumaré CD;Documentos;Juliana Gomes Ferreira;1;25/09/2023;03/10/2023;02/10/2025;31/12/2025;Sim;;
39;DOC.057;Manual de Compras - Grown;;Grown;Documentos;Cauê Emerenciano;4;02/10/2024;07/10/2024;07/10/2025;05/01/2026;Sim;;
40;DOC.058;Comunicação com o Cliente - Lab Rio;;LabRio;Documentos;Renan Barbosa;0;06/12/2022;07/12/2022;09/06/2026;08/09/2026;Sim;;
41;DOC.059;Recusa de Nota Fiscal - Technopark;;Technopark;Documentos;Felipe Costa;1;02/02/2023;06/02/2023;06/02/2026;25/04/2026;Sim;;
42;DOC.060;Manual de Compras - Technoaprk;Antigo DEX.185;Technopark;Documentos;Benicio Souza;2;16/02/2023;10/03/2023;17/05/2025;30/12/2025;Sim;;
43;DOC.063;Critérios de Conformidade Cosmética;;Produtos e Informações;Documentos;Lucineide Pereira;13;19/11/2024;22/11/2024;22/11/2025;20/02/2026;Sim;QUALIDADE;RX_REFERENCIAL
44;DOC.066;Manual de Compras - digiTOP;;digiTOP;Documentos;Nickolle Rodrigues;1;13/03/2025;17/03/2025;17/03/2026;15/06/2026;Sim;;
45;DOC.067;Comunicação com o Cliente - Repro;;Repro;Documentos;Ovanir Lima Junior;0;11/05/2023;25/05/2023;25/05/2026;24/08/2026;Sim;;
46;DOC.068;Fluxograma de Processos - digiTOP;;digiTOP;Documentos;Nickolle Rodrigues;3;30/04/2025;30/05/2025;30/05/2026;28/08/2026;Sim;;
47;DOC.069;Descrição de Atividade - Utilização;;Descrição de Atividade;Documentos;Taís Flores;0;01/06/2023;18/07/2023;17/07/2026;16/10/2026;Sim;QUALIDADE;RH/DP
48;DOC.070;Fluxograma de Processos - Coating RS;;Coating RS;Documentos;Christiano Silva;0;19/06/2023;19/07/2023;17/07/2026;16/10/2026;Sim;;
49;DOC.071;Fluxograma de Processos - Tecnolens;;Tecnolens;Documentos;Vinicius Silva;1;06/09/2023;11/09/2023;10/09/2025;09/12/2025;Sim;QUALIDADE;TECNOLENS
50;DOC.073;Manual de Compras - Tecnolens;;Tecnolens;Documentos;Tatiana Andrade;0;11/07/2023;19/07/2023;17/07/2026;16/10/2026;Sim;QUALIDADE;COMPRAS
51;DOC.074;Descrição de Atividade DA - Modelo;;Descrição de Atividade;Documentos;Lucineide Pereira;0;17/07/2023;17/07/2023;16/07/2026;15/10/2026;Sim;;
52;DOC.075;Padrão Cosmético - RX Referencial - Repro;;Repro;Documentos;Laura Vaz;1;30/07/2024;08/08/2024;08/08/2026;06/11/2026;Sim;;
53;DOC.076;Tolerâncias para Lentes - Repro;;Repro;Documentos;Renata Turri;0;26/07/2023;26/07/2023;24/07/2026;23/10/2026;Sim;;
54;DOC.077;Pilares da Tomada de Decisão - Aprovado, Liberado Sob Concessão ou Reprovado;;Auditoria de Produto;Documentos;Lucineide Pereira;0;04/08/2023;04/08/2023;04/08/2026;03/11/2026;Sim;QUALIDADE;QUALIDADE
55;DOC.078;Priorização de Serviços - Laboratório Sumaré;;Sumaré Laboratório;Documentos;Rafael Medeiros;1;31/10/2023;14/12/2023;13/12/2025;13/03/2026;Sim;;
56;DOC.079;Fluxograma de Processos - Sumaré Laboratório;;Sumaré Laboratório;Documentos;Gustavo Grangeiro;1;30/09/2024;16/10/2024;16/10/2025;14/01/2026;Sim;;
57;DOC.080;DA - Coordenador de Qualidade;;Descrição de Atividade;Documentos;Juliana Costa Barros;0;23/10/2023;27/10/2023;26/10/2025;24/01/2026;Sim;;
58;DOC.081;DA - Gerente Técnico;;Descrição de Atividade;Documentos;Juliana Costa Barros;0;23/10/2023;27/10/2023;26/10/2025;24/01/2026;Sim;;
59;DOC.082;Manual de Compras - Optilab;;Optilab;Documentos;Nickolle Rodrigues;0;21/11/2023;04/12/2023;03/12/2025;03/03/2026;Sim;;
60;DOC.083;Fluxograma de Processos - Optilab;Fluxograma de Processos - Optilab;Optilab;Documentos;Nickolle Rodrigues;1;29/04/2025;30/05/2025;30/05/2026;28/08/2026;Sim;;
61;DOC.084;Gestão de Troca dos Pads (Descarte) - Padrão;;00-Geral SURFACE;Documentos;Jesse Rodrigues;0;01/02/2024;02/02/2024;01/02/2026;02/05/2026;Sim;SURFAÇAGEM;Polimento
62;DOC.085;Manual de compras - Visolab;;Visolab;Documentos;Jaldo Reis;0;09/02/2024;21/02/2024;20/02/2026;21/05/2026;Sim;;
63;DOC.086;Fotos - Cadinho Processo Essilor - Lab Sumaré;;00-Geral AR;Documentos;Miguel Soares Lima;0;21/02/2024;21/02/2024;20/05/2026;20/08/2026;Sim;;
64;DOC.087;Fluxograma de Processos - Visolab;;Visolab;Documentos;Jaldo Reis;2;16/08/2024;16/08/2024;17/08/2026;16/11/2026;Sim;;
65;DOC.088;Fluxo do Rack - Technopark;;Technopark;Documentos;Thiago Francelino;1;09/09/2025;28/10/2025;28/10/2026;26/01/2027;Sim;;
66;DOC.089;Acompanhamento dos Pedidos por Cores - Visolab;;Visolab;Documentos;Jaldo Reis;0;06/05/2024;07/05/2024;07/05/2026;06/08/2026;Sim;;
67;DOC.090;Montagem de Garra - Gabarito;;01-Pré-Inspeção - Preparação;Documentos;Rodrigo Lima;1;18/09/2024;16/10/2024;16/10/2025;14/01/2026;Sim;;
68;DOC.092;Padrão de Envio de Fotos de Lentes para Garantia - Visolab;;Visolab;Documentos;Jaldo Reis;0;17/07/2024;19/07/2024;20/07/2026;19/10/2026;Sim;;
69;DOC.095;Gabarito de Direcionamento - Prisma;;00-Controle de Processo e DSPC;Documentos;Renan Barbosa;0;25/07/2024;30/07/2024;30/07/2026;29/10/2026;Sim;;
70;DOC.101;Organograma - Visolab;;Visolab;Documentos;Jaldo Reis;0;20/08/2024;20/08/2024;20/08/2026;18/11/2026;Sim;;
71;DOC.102;Organograma - Ceditop;;Ceditop;Documentos;Leticia Santos;1;27/09/2025;30/09/2025;30/09/2026;29/12/2026;Sim;;
72;DOC.103;Codificação_Padrão DIG;;Produtos e Informações;Documentos;Lucineide Pereira;0;18/11/2024;22/11/2024;22/11/2025;20/02/2026;Sim;;
73;DOC.104;Processo em Casos de Emergência - Ceditop;;Ceditop;Documentos;Gislaine Teixeira Nobre;0;12/12/2024;18/02/2025;18/02/2026;19/05/2026;Sim;;
74;DOC.106;Gabarito de Utlização de Blue Tape - Fitadeira Manual;;00-Geral;Documentos;Silvano Silva;0;12/02/2025;10/06/2025;10/06/2026;08/09/2026;Sim;;
75;DOC.107;Política de Estoque - Repro;;Repro;Documentos;Laura Vaz;0;12/02/2025;12/02/2025;12/02/2026;21/01/2027;Sim;;
76;DOC.108;Softwares para Validação - Lab Rio;;LabRio;Documentos;Renan Barbosa;0;01/05/2025;05/06/2025;05/06/2026;03/09/2026;Sim;;
77;DOC.109;Critério de Conformidade Cosmética - Lentes Stellest - Lab Rio;;LabRio;Documentos;Renan Barbosa;0;01/05/2025;15/05/2025;15/05/2026;13/08/2026;Sim;;
78;DOC.110;Procedimento para armações Danificadas - Visolab;;Visolab;Documentos;Lealdo dos Santos;0;22/05/2025;29/05/2025;29/05/2026;27/08/2026;Sim;;
79;DOC.111;Softwares para Validação - Visolab;;Visolab;Documentos;Evany Rabelo;0;09/06/2025;25/06/2025;25/06/2026;23/09/2026;Sim;;
80;DOC.113;Organograma - Technopark;Organograma - Technopark;Technopark;Documentos;Rodrigo Lima;0;08/08/2025;04/09/2025;04/09/2026;03/12/2026;Sim;;
81;DOC.114;Leitura do Pedido de Defeito e Quebra no Estoque - Repro;;Repro;Documentos;Debora Rocha;0;28/08/2025;29/08/2025;29/08/2026;27/11/2026;Sim;;
82;DOC.115;Bases Diferentes no Estoque - Repro;;Repro;Documentos;Debora Rocha;0;28/08/2025;29/08/2025;29/08/2026;27/11/2026;Sim;;
83;DOC.116;Avaliação de Conferência Óptica - Lab Rio;;LabRio;Documentos;Renan Barbosa;0;24/09/2025;30/09/2025;30/09/2026;29/12/2026;Sim;;
84;DOC.117;Avaliação de Conferência de Montagem - Lab Rio;"Ajustadas os seguintes itens: - Nome do Documento; - Fotos em linha do texto; - Erros de digitação; - Formatação de texto.";LabRio;Documentos;Renan Barbosa;0;24/09/2025;29/09/2025;29/09/2026;28/12/2026;Sim;;
85;DOC.118;Avaliação de FOG-ID para Lentes com Antirreflexo Crizal e No Reflex - Lab Rio;Documento para usar em treinamento de reciclagem de auditoria de produto.;LabRio;Documentos;Renan Barbosa;0;08/10/2025;13/10/2025;13/10/2026;11/01/2027;Sim;;
86;DEX.002;ISO 9001:2015 - Sistemas de gestão da qualidade - Requisitos;;Normas;Documentos Externos;Vagner Domingos;0;28/02/2019;28/02/2019;19/08/2026;18/11/2026;Sim;;
87;DEX.003;QEE-0335.r13_Seguranca_do_Qualiex_Essilor;;Forlogic - Qualiex;Documentos Externos;Vagner Domingos;0;13/03/2019;13/03/2019;;;Não;;
88;DEX.004;Termos-de-uso Forlogic X Essilor;;Forlogic - Qualiex;Documentos Externos;Vagner Domingos;0;13/03/2019;13/03/2019;;;Não;;
89;DEX.005;Minuta Contrato Padrão Prestação de Serviços;;Forlogic - Qualiex;Documentos Externos;Vagner Domingos;0;13/03/2019;13/03/2019;;;Não;;
90;DEX.006;ABNT NBR ISO.IEC17025 - Requisitos gerais para a competência de laboratórios de ensaio e calibração;;Normas;Documentos Externos;Vagner Domingos;0;08/04/2019;08/04/2019;19/08/2026;17/11/2026;Sim;;
91;DEX.008;ICR08041 - HC Control Plan for Rx Labs;;Rx Referencial;Documentos Externos;José Hamilton;2;14/08/2024;26/08/2024;26/08/2026;24/11/2026;Sim;;
92;DEX.009;ISTM 04025 Rx Optica Specification - Inteiras e cortadas  - Português;;Geral;Documentos Externos;José Hamilton;1;24/08/2020;24/08/2020;;;Não;;
93;DEX.010;ICR08041 - HC Control Plan for Rx Labs;;Geral;Documentos Externos;José Hamilton;1;24/08/2020;24/08/2020;;;Não;;
94;DEX.011;Finished lenses optical standard ISTM 04.025;ISO / ANSI Optical tolerances;Geral;Documentos Externos;Jessika Menacho;3;09/06/2025;12/08/2025;12/08/2026;10/11/2026;Sim;;
95;DEX.012;ISTM04 - 024  - Rx Cosmetic Standard;;Geral;Documentos Externos;Lucineide Pereira;4;02/08/2023;04/08/2023;03/08/2026;03/11/2026;Sim;;
96;DEX.014;IMS18E78 - Criza Easy E-SPF 25 Mithril 1.5 - Côncavo;Rev1 - 22/03/2016;HMC Product Specifications;Documentos Externos;Taís Flores;1;22/03/2016;22/03/2016;;;Não;;
97;DEX.015;IMS18E64 - Crizal Forte UV E-SPF 25 Mithril 1.5 - Côncavo;;HMC Product Specifications;Documentos Externos;Taís Flores;2;22/03/2016;22/03/2016;;;Não;;
98;DEX.016;IMS18E65 - Crizal Forte UV E-SPF 35 Mithril 1.5 - Côncavo;;HMC Product Specifications;Documentos Externos;Taís Flores;3;22/06/2016;22/06/2016;;;Não;;
99;DEX.017;IMS18E59 - Crizal Forte UV E-SPF 35 Mithril 1.5 - Convexo;;HMC Product Specifications;Documentos Externos;Taís Flores;1;20/01/2016;20/01/2016;;;Não;;
100;DEX.018;IMS18F19 - Crizal Forte UV E-SPF 35 Mithril 1.6 - Côncavo;;HMC Product Specifications;Documentos Externos;Taís Flores;2;22/06/2017;22/06/2017;;;Não;;
101;DEX.019;IMS18E65 - Crizal Forte E-SPF 35 Mithril 1.5 - Côncavo;Mesmo documento do Crizal Forte CC;HMC Product Specifications;Documentos Externos;Taís Flores;3;22/06/2016;22/06/2016;;;Não;;
102;DEX.020;IMS18E53 - Crizal Prevência Mithril 1.5 - Convexo;;HMC Product Specifications;Documentos Externos;Taís Flores;3;01/09/2016;01/09/2016;;;Não;;
103;DEX.021;IMS18F19 - Crizal Forte UV E-SPF 35 Mithril 1.6 - Côncavo;;HMC Product Specifications;Documentos Externos;Taís Flores;2;22/06/2017;22/06/2017;;;Não;;
104;DEX.022;IMS18F36 - Crizal Prevência Mithril 1.6 - Convexo;;HMC Product Specifications;Documentos Externos;Taís Flores;1;23/11/2017;23/11/2017;;;Não;;
105;DEX.023;IMS18E98 Crizal Sapphire Mithril 1.5 - Côncavo (LGNASUL UV35);;HMC Product Specifications;Documentos Externos;Taís Flores;1;17/10/2017;17/10/2017;;;Não;;
106;DEX.024;IMS18B54 Crizal Sapphire Mithril 1.5 - Convexo (LGNASUL UV35);;HMC Product Specifications;Documentos Externos;Taís Flores;1;10/03/2017;10/03/2017;;;Não;;
107;DEX.025;IMS18E97 Crizal Sapphire UV E-SPF 35 Mithril 1.6 - Côncavo;;HMC Product Specifications;Documentos Externos;Taís Flores;1;15/12/2016;15/12/2016;;;Não;;
108;DEX.026;IMS18F20  Crizal Sapphire UV E-SPF 35 Mithril 1.6 - Convexo;;HMC Product Specifications;Documentos Externos;Taís Flores;1;15/09/2017;15/09/2017;;;Não;;
109;DEX.027;IMS18E67 CR39_MITHRIL_1.5_MC3_RX;;HMC Product Specifications;Documentos Externos;Taís Flores;1;28/01/2016;28/01/2016;;;Não;;
110;DEX.030;IMS18F19 - Crizal Forte UV E-SPF 35 Mithril 1.6 - Côncavo;;HMC Product Specifications;Documentos Externos;Taís Flores;2;22/06/2017;22/06/2017;;;Não;;
111;DEX.033;Manual de aplicação 5S;;07-MELHORIA CONTÍNUA;Documentos Externos;Humberto Serra - Lab Rio;0;08/10/2020;03/12/2020;09/07/2026;08/10/2026;Não;QUALIDADE;5S
112;DEX.034;ABNT NBR ISO13485:2016 - Produtos para saúde - Sistemas de gestão da qualidade - Requisitos para fins regulamentares;;Normas;Documentos Externos;Taís Flores;0;12/11/2020;12/11/2020;18/05/2026;17/08/2026;Sim;;
113;DEX.035;Cross Hatch Adhesion Test for Hard Coating - ISTM-02-010;;04-Testes;Documentos Externos;Taís Flores;8;11/03/2025;11/03/2025;11/03/2026;09/06/2026;Sim;;
114;DEX.036;Tabela de Incompatibilidade;Anexo 2;Gestão de Resíduos;Documentos Externos;Aleksander Oliveira;0;08/04/2021;12/04/2021;;;Sim;;
115;DEX.038;Rótulos de Classe I  e Recicláveis;Inserido como DEX;Gestão de Resíduos;Documentos Externos;Aleksander Oliveira;0;12/04/2021;13/04/2021;13/10/2025;29/12/2025;Sim;;
116;DEX.039;ABNT NBR ISO 8980-2:2021 Parte 2: Especificações para lentes de potência variável;Óptica oftálmica - Lentes para óculos acabadas e não cortadas Parte 2: Especificações para lentes de potência variável;Normas;Documentos Externos;Taís Flores;1;04/09/2023;04/09/2023;04/09/2025;04/12/2025;Sim;;
117;DEX.040;DIP PROCESSES PARAMETERS - HC - DO-ENG02.0488;DO-ENG(02) OPERATING MODE.0488_15 DIP PROCESSES PARAMETERS.docx - DO-ENG(02) OPERATING MODE.0488_15 (1);02-HC;Documentos Externos;Taís Flores;15;30/06/2021;30/06/2021;30/06/2026;29/09/2026;Sim;Doc's de Referência do STL;HC
118;DEX.041;NR05 - COMISSÃO INTERNA DE PREVENÇÃO DE ACIDENTES E DE ASSÉDIO - CIPA;NR 05 - Comissão interna de prevenção de acidentes NR05-COMISSÃOINTERNADEPREVENÇÃODEACIDENTESEDEASSÉDIO-CIPA(PortariaMTPnº4.219,de20dedezembrode2022-Títuloqueentraemvigornodia 20demarçode2023);Normas;Documentos Externos;Taís Flores;1;04/09/2023;04/09/2023;04/09/2025;04/12/2025;Sim;;
119;DEX.042;ICR08043 - ICR Titanium;;Geral;Documentos Externos;Taís Flores;1;27/07/2021;27/07/2021;03/11/2025;02/02/2026;Sim;;
120;DEX.043;DQO 04.020 - Standard for Storage and Transportations of lenses NEW Rev10;;Geral;Documentos Externos;Taís Flores;1;30/01/2023;30/01/2023;30/01/2026;30/04/2026;Sim;;
121;DEX.044;IMS 18253 - Validade Materiais Produtos;;Geral;Documentos Externos;Taís Flores;2;24/08/2021;24/08/2021;03/11/2025;02/02/2026;Sim;;
122;DEX.045;DQO-07.527 - Tracking Code Description;;Geral;Documentos Externos;Taís Flores;1;10/04/2024;06/05/2024;06/05/2026;05/08/2026;Sim;;
123;DEX.046;Specs - HVAC - HMC - Clean Room for HMC Processes;;Geral;Documentos Externos;Taís Flores;1;17/01/2019;26/08/2021;02/02/2026;02/05/2026;Sim;;
124;DEX.048;ISTM 01 - 002 E - Cosmetic Defect Glossary;;Geral;Documentos Externos;Taís Flores;3;10/09/2021;10/09/2021;08/01/2026;08/04/2026;Sim;;
125;DEX.049;ISTM 02- 020 - Inspeção Cosmética;;Geral;Documentos Externos;Taís Flores;4;10/09/2021;10/09/2021;12/09/2025;05/01/2026;Sim;;
126;DEX.050;ISTM 02 - 373 - Rx Cosmetic Inspection;;Geral;Documentos Externos;Taís Flores;1;10/09/2021;10/09/2021;12/09/2025;05/01/2026;Sim;;
127;DEX.051;NBR 5426 Nb 309 01 - Planos Amostragem Procedimentos Inspeção Atributos;;Normas;Documentos Externos;Taís Flores;0;15/09/2021;15/09/2021;03/06/2026;02/09/2026;Sim;;
128;DEX.052;Portaria GM MS Nº 888, de 4 de maio de 2021;;Higienização;Documentos Externos;Aleksander Oliveira;0;27/09/2021;07/12/2021;27/09/2025;28/11/2025;Sim;;
129;DEX.053;Programa de Proteção Respiratória - Fundacentro;;Programa de Proteção Respiratória;Documentos Externos;Fabricio Cunha;0;27/09/2021;07/12/2021;27/09/2025;27/12/2025;Sim;;
130;DEX.054;NR 6 - Equipamento de Proteção Individual;;Programa de Proteção Respiratória;Documentos Externos;Fabricio Cunha;1;17/04/2024;18/04/2024;20/04/2026;20/07/2026;Sim;;
131;DEX.055;NR 01 - Disposições Gerais e Gerenciamento de Riscos Ocupacionais;;Programa de Proteção Respiratória;Documentos Externos;Fabricio Cunha;1;17/04/2024;22/08/2024;21/08/2026;19/11/2026;Sim;;
132;DEX.056;Workflow Novo Produto_v2003_V10_2;;Qualidade;Documentos Externos;Taís Flores;10;07/10/2021;07/10/2021;14/08/2026;13/11/2026;Sim;QUALIDADE;QUALIDADE
133;DEX.057;Solicitação de procedimento LIMS (português);;08-EQC;Documentos Externos;Maurício Acioli;2;01/11/2021;03/11/2021;03/02/2026;03/05/2026;Sim;;
134;DEX.058;General Specifications for Ventilation and air-conditionning in HMC Clean Rooms (Process Rooms);;02-HC;Documentos Externos;Nathália Brandão;1;17/01/2019;17/01/2019;09/02/2026;09/05/2026;Sim;Doc's de Referência do STL;HC
135;DEX.059;Lab Product Resume - Produtos Calculados pelo ADOC;;Resumo do Produto;Documentos Externos;Thiago Ribeiro;0;17/12/2021;27/12/2021;27/09/2025;05/01/2026;Sim;;
136;DEX.060;Lab Product Resume - Produtos Calculados pelo SCG;;Resumo do Produto;Documentos Externos;Thiago Ribeiro;0;17/12/2021;27/12/2021;27/09/2025;05/01/2026;Sim;;
137;DEX.061;NR 10 - Segurança em Instalações e Serviços em Eletricidade;;LOTO - Bloqueio e Etiquetagem;Documentos Externos;Rodrigo Braga;0;28/12/2021;28/12/2021;09/06/2026;08/09/2026;Sim;;
138;DEX.062;Lock-Out Tag-Out;;LOTO - Bloqueio e Etiquetagem;Documentos Externos;Rodrigo Braga;0;28/12/2021;28/12/2021;09/06/2026;08/09/2026;Sim;;
139;DEX.063;Workplace Risk Assessment;;Análise de Riscos;Documentos Externos;Rodrigo Braga;0;28/12/2021;03/01/2022;09/06/2026;08/09/2026;Sim;;
140;DEX.064;Emergency Procedures;;PAE - Plano de Atendimento a Emergência;Documentos Externos;Rodrigo Braga;0;28/12/2021;28/12/2021;09/06/2026;08/09/2026;Sim;;
141;DEX.065;Fire Prevention and Response;;PAE - Plano de Atendimento a Emergência;Documentos Externos;Rodrigo Braga;1;28/12/2021;23/02/2022;09/06/2026;08/09/2026;Sim;;
142;DEX.066;Confined Spaces;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;1;28/12/2021;23/02/2022;09/06/2026;08/09/2026;Sim;;
143;DEX.067;Hot Work;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;1;28/12/2021;23/02/2022;09/06/2026;08/09/2026;Sim;;
144;DEX.068;Work at Height;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;1;28/12/2021;23/02/2022;09/06/2026;08/09/2026;Sim;;
145;DEX.069;NR 33 - Segurança e Saúde nos Trabalhos em Espaços Confinados;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;0;28/12/2021;23/02/2022;09/06/2026;08/09/2026;Sim;;
146;DEX.070;NR 35 - Trabalho em Altura;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;0;28/12/2021;23/02/2022;09/06/2026;08/09/2026;Sim;;
147;DEX.071;Lei Nº 6.367, de 19 de Outubro de 1976;;Comunicações de Acidentes;Documentos Externos;Rodrigo Braga;0;28/12/2021;28/12/2021;09/06/2026;09/09/2026;Sim;;
148;DEX.072;Lei Nº 6.514, de 22 de Dezembro de 1977;;Comunicações de Acidentes;Documentos Externos;Rodrigo Braga;0;28/12/2021;28/12/2021;09/06/2026;08/09/2026;Sim;;
149;DEX.073;Lei Nº 8.213, de 24 de Julho de 1991;;Comunicações de Acidentes;Documentos Externos;Rodrigo Braga;0;28/12/2021;28/12/2021;09/06/2026;08/09/2026;Sim;;
